Symptom,Possible Diseases,Treatment
Fever,"Malaria, Dengue, Typhoid",Antimalarial drugs; rest and hydration.
Persistent cough,"Tuberculosis, Bronchitis, COVID-19",Antitubercular drugs under medical supervision.
Joint pain,"Chikungunya, Arthritis, Dengue","Fluids, rest, paracetamol for fever."
Skin rash,"Chickenpox, Measles, Allergic dermatitis","Calamine lotion, rest, antiviral if severe."
Headache,"Migraine, Sinusitis, Hypertension","Painkillers, rest, avoid triggers."
Abdominal pain,"Gastritis, Appendicitis, Food poisoning",Consult a doctor for proper treatment.
Diarrhea,"Gastroenteritis, Cholera, Food poisoning",Consult a doctor for proper treatment.
Vomiting,"Food poisoning, Viral infection, Gastritis",Consult a doctor for proper treatment.
Fatigue,"Anemia, Hypothyroidism, Chronic fatigue syndrome",Consult a doctor for proper treatment.
Difficulty breathing,"Asthma, Pneumonia, COPD",Consult a doctor for proper treatment.
Sore throat,"Pharyngitis, Tonsillitis, Common cold",Consult a doctor for proper treatment.
Nasal congestion,"Common cold, Sinusitis, Allergic rhinitis",Antihistamines and avoid allergens.
Chest pain,"Angina, Gastroesophageal reflux, Pneumonia",Consult a doctor for proper treatment.
Dizziness,"Vertigo, Anemia, Low blood pressure",Consult a doctor for proper treatment.
Swollen lymph nodes,"Tuberculosis, Lymphoma, Viral infection",Antitubercular drugs under medical supervision.
Jaundice,"Hepatitis, Liver cirrhosis, Malaria",Antimalarial drugs; rest and hydration.
Blood in stool,"Hemorrhoids, Colorectal cancer, Dysentery",Consult a doctor for proper treatment.
Burning urination,"Urinary tract infection, Kidney stones, Prostatitis",Consult a doctor for proper treatment.
Back pain,"Muscle strain, Herniated disc, Kidney stones",Consult a doctor for proper treatment.
Ear pain,"Ear infection, Swimmer's ear, Sinusitis","Steam inhalation, nasal spray, antibiotics if needed."
Blurred vision,"Cataract, Glaucoma, Diabetic retinopathy",Consult a doctor for proper treatment.
Loss of appetite,"Tuberculosis, Depression, Hepatitis",Antitubercular drugs under medical supervision.
Night sweats,"Tuberculosis, Lymphoma, Menopause",Antitubercular drugs under medical supervision.
Nausea,"Motion sickness, Gastritis, Pregnancy",Consult a doctor for proper treatment.
Muscle weakness,"Vitamin D deficiency, Myasthenia gravis, Thyroid disorders",Consult a doctor for proper treatment.
Frequent urination,"Diabetes, Urinary tract infection, Prostate enlargement",Consult a doctor for proper treatment.
Constipation,"Irritable bowel syndrome, Hypothyroidism, Dehydration",Consult a doctor for proper treatment.
Blood in urine,"Urinary tract infection, Kidney stones, Bladder cancer",Consult a doctor for proper treatment.
Wheezing,"Asthma, Bronchitis, COPD","Cough syrup, steam inhalation, rest."
Stiff neck,"Meningitis, Cervical spondylosis, Muscle strain",Consult a doctor for proper treatment.
Ankle swelling,"Heart failure, Kidney disease, Venous insufficiency",Consult a doctor for proper treatment.
Weight loss,"Tuberculosis, Cancer, Hyperthyroidism",Antitubercular drugs under medical supervision.
Excessive thirst,"Diabetes, Dehydration, Kidney disease",Consult a doctor for proper treatment.
Increased hunger,"Diabetes, Hyperthyroidism, Parasitic infection",Consult a doctor for proper treatment.
Dry cough,"Bronchitis, COVID-19, Asthma","Cough syrup, steam inhalation, rest."
Productive cough,"Pneumonia, Bronchitis, Tuberculosis",Antitubercular drugs under medical supervision.
Itchy skin,"Scabies, Eczema, Allergies",Consult a doctor for proper treatment.
Red eyes,"Conjunctivitis, Allergies, Glaucoma",Consult a doctor for proper treatment.
Mouth ulcers,"Vitamin deficiency, Viral infection, Stress",Consult a doctor for proper treatment.
Hair loss,"Alopecia, Thyroid disorders, Nutritional deficiency",Consult a doctor for proper treatment.
Palpitations,"Anxiety, Arrhythmia, Anemia",Consult a doctor for proper treatment.
Cold hands and feet,"Raynaud's disease, Hypothyroidism, Anemia",Consult a doctor for proper treatment.
Memory problems,"Dementia, Vitamin B12 deficiency, Depression",Consult a doctor for proper treatment.
Tremors,"Parkinson's disease, Essential tremor, Hyperthyroidism",Consult a doctor for proper treatment.
Excessive sweating,"Hyperthyroidism, Tuberculosis, Menopause",Antitubercular drugs under medical supervision.
Hoarseness,"Laryngitis, Vocal cord nodules, Thyroid cancer",Consult a doctor for proper treatment.
Dry skin,"Eczema, Psoriasis, Hypothyroidism",Consult a doctor for proper treatment.
Insomnia,"Anxiety, Depression, Sleep apnea",Consult a doctor for proper treatment.
Excessive sleepiness,"Sleep apnea, Depression, Hypothyroidism",Consult a doctor for proper treatment.
Numbness in extremities,"Peripheral neuropathy, Vitamin B12 deficiency, Diabetes",Consult a doctor for proper treatment.
Painful urination,"Urinary tract infection, Kidney stones, Sexually transmitted infection",Consult a doctor for proper treatment.
Swollen joints,"Rheumatoid arthritis, Gout, Reactive arthritis",Pain relief meds and physiotherapy.
Muscle cramps,"Dehydration, Electrolyte imbalance, Vitamin D deficiency",Consult a doctor for proper treatment.
Facial pain,"Sinusitis, Trigeminal neuralgia, Dental abscess","Steam inhalation, nasal spray, antibiotics if needed."
Eye pain,"Glaucoma, Corneal abrasion, Iritis",Consult a doctor for proper treatment.
Blood pressure fluctuations,"Hypertension, Pheochromocytoma, Anxiety",BP medication and lifestyle changes.
Irregular heartbeat,"Arrhythmia, Anxiety, Electrolyte imbalance",Consult a doctor for proper treatment.
Excessive bruising,"Platelet disorders, Vitamin K deficiency, Leukemia",Consult a doctor for proper treatment.
Toothache,"Dental cavity, Abscess, Gum disease",Consult a doctor for proper treatment.
Jaw pain,"Temporomandibular joint disorder, Dental abscess, Trigeminal neuralgia",Consult a doctor for proper treatment.
Halitosis,"Gum disease, Dental infection, Gastroesophageal reflux",Consult a doctor for proper treatment.
Bloody sputum,"Tuberculosis, Lung cancer, Pneumonia",Antitubercular drugs under medical supervision.
Lower back pain,"Sciatica, Kidney infection, Herniated disc",Consult a doctor for proper treatment.
Knee pain,"Osteoarthritis, Ligament injury, Gout",Pain relief meds and physiotherapy.
Shoulder pain,"Frozen shoulder, Rotator cuff injury, Bursitis",Consult a doctor for proper treatment.
Abdominal bloating,"Irritable bowel syndrome, Gastritis, Lactose intolerance",Consult a doctor for proper treatment.
Anal bleeding,"Hemorrhoids, Anal fissure, Colorectal cancer",Consult a doctor for proper treatment.
Decreased urine output,"Kidney disease, Dehydration, Urinary obstruction",Consult a doctor for proper treatment.
Loss of consciousness,"Syncope, Epilepsy, Hypoglycemia",Consult a doctor for proper treatment.
Confusion,"Delirium, Dementia, Encephalitis",Consult a doctor for proper treatment.
Slurred speech,"Stroke, Transient ischemic attack, Multiple sclerosis",Consult a doctor for proper treatment.
Facial drooping,"Stroke, Bell's palsy, Transient ischemic attack",Consult a doctor for proper treatment.
Limb weakness,"Stroke, Multiple sclerosis, Guillain-Barré syndrome",Consult a doctor for proper treatment.
Double vision,"Stroke, Brain tumor, Multiple sclerosis",Consult a doctor for proper treatment.
Seizures,"Epilepsy, Brain tumor, Meningitis",Consult a doctor for proper treatment.
Ringing in ears,"Tinnitus, Meniere's disease, Ear infection",Consult a doctor for proper treatment.
Hearing loss,"Age-related hearing loss, Ear infection, Acoustic neuroma",Consult a doctor for proper treatment.
Balance problems,"Vertigo, Inner ear infection, Multiple sclerosis",Consult a doctor for proper treatment.
Frequent falls,"Parkinson's disease, Orthostatic hypotension, Multiple sclerosis",Consult a doctor for proper treatment.
Excessive urination at night,"Diabetes, Prostate enlargement, Heart failure",Consult a doctor for proper treatment.
Erectile dysfunction,"Diabetes, Hypertension, Depression",BP medication and lifestyle changes.
Painful intercourse,"Vaginitis, Endometriosis, Pelvic inflammatory disease",Consult a doctor for proper treatment.
Vaginal discharge,"Vaginitis, Sexually transmitted infection, Cervical cancer",Consult a doctor for proper treatment.
Abnormal vaginal bleeding,"Uterine fibroids, Endometriosis, Cervical cancer",Consult a doctor for proper treatment.
Breast lump,"Fibrocystic disease, Breast cancer, Mastitis",Consult a doctor for proper treatment.
Menstrual pain,"Endometriosis, Adenomyosis, Pelvic inflammatory disease",Consult a doctor for proper treatment.
Missed periods,"Pregnancy, Polycystic ovary syndrome, Stress",Consult a doctor for proper treatment.
Testicular pain,"Epididymitis, Testicular torsion, Orchitis",Consult a doctor for proper treatment.
Scrotal swelling,"Hydrocele, Varicocele, Testicular cancer",Consult a doctor for proper treatment.
Painful ejaculation,"Prostatitis, Seminal vesiculitis, Urethritis",Consult a doctor for proper treatment.
Premature ejaculation,"Anxiety, Thyroid disorders, Prostatitis",Consult a doctor for proper treatment.
Rectal pain,"Hemorrhoids, Anal fissure, Proctitis",Consult a doctor for proper treatment.
Inability to urinate,"Urinary retention, Prostate enlargement, Urethral stricture",Consult a doctor for proper treatment.
Yellow skin,"Jaundice, Hepatitis, Gallstones",Consult a doctor for proper treatment.
Pale skin,"Anemia, Shock, Vitamin deficiency",Consult a doctor for proper treatment.
Cyanosis,"Heart failure, Pulmonary embolism, COPD",Consult a doctor for proper treatment.
Swollen face,"Kidney disease, Allergic reaction, Cushing's syndrome",Antihistamines and avoid allergens.
Puffy eyes,"Allergies, Kidney disease, Hypothyroidism",Consult a doctor for proper treatment.
Brittle nails,"Iron deficiency, Thyroid disorders, Fungal infection",Consult a doctor for proper treatment.
Nail discoloration,"Fungal infection, Psoriasis, Melanoma",Consult a doctor for proper treatment.
Sunken eyes,"Dehydration, Malnutrition, Aging",Consult a doctor for proper treatment.
Dark circles under eyes,"Allergies, Sleep deprivation, Anemia",Consult a doctor for proper treatment.
Swollen gums,"Gingivitis, Vitamin C deficiency, Leukemia",Consult a doctor for proper treatment.
Bleeding gums,"Gingivitis, Vitamin K deficiency, Leukemia",Consult a doctor for proper treatment.
Difficulty swallowing,"Esophageal stricture, Throat cancer, Achalasia",Consult a doctor for proper treatment.
Hoarse voice,"Laryngitis, Vocal cord nodules, Thyroid cancer",Consult a doctor for proper treatment.
Lump in throat,"Globus sensation, Thyroid nodule, Esophageal cancer",Consult a doctor for proper treatment.
Neck swelling,"Goiter, Lymphadenopathy, Thyroid cancer",Consult a doctor for proper treatment.
Hiccups,"Gastroesophageal reflux, Hiatal hernia, Pneumonia",Consult a doctor for proper treatment.
Excessive belching,"Gastroesophageal reflux, Gastritis, Functional dyspepsia",Consult a doctor for proper treatment.
Excessive flatulence,"Irritable bowel syndrome, Lactose intolerance, Malabsorption",Consult a doctor for proper treatment.
Rectal itching,"Hemorrhoids, Pinworms, Fungal infection",Consult a doctor for proper treatment.
Hair thinning,"Iron deficiency, Hypothyroidism, Telogen effluvium",Consult a doctor for proper treatment.
Facial hair in women,"Polycystic ovary syndrome, Cushing's syndrome, Adrenal disorders",Consult a doctor for proper treatment.
Excessive sweating,"Hyperthyroidism, Anxiety, Infection",Consult a doctor for proper treatment.
Night blindness,"Vitamin A deficiency, Retinitis pigmentosa, Cataracts",Consult a doctor for proper treatment.
Sensitivity to light,"Migraine, Iritis, Corneal abrasion","Painkillers, rest, avoid triggers."
Dry eyes,"Sjögren's syndrome, Aging, Computer vision syndrome",Consult a doctor for proper treatment.
Watery eyes,"Allergies, Blocked tear duct, Conjunctivitis",Consult a doctor for proper treatment.
Bulging eyes,"Graves' disease, Orbital cellulitis, Orbital tumor",Consult a doctor for proper treatment.
Yellow eyes,"Jaundice, Hepatitis, Alcoholic liver disease",Consult a doctor for proper treatment.
Eye discharge,"Conjunctivitis, Blepharitis, Dacryocystitis",Consult a doctor for proper treatment.
Dry mouth,"Sjögren's syndrome, Dehydration, Medication side effect",Consult a doctor for proper treatment.
Excessive salivation,"Dental infection, Parkinson's disease, Gastroesophageal reflux",Consult a doctor for proper treatment.
Tongue pain,"Glossitis, Oral candidiasis, Vitamin deficiency",Consult a doctor for proper treatment.
White tongue,"Oral thrush, Leukoplakia, Dehydration",Consult a doctor for proper treatment.
Red tongue,"Vitamin deficiency, Scarlet fever, Kawasaki disease",Consult a doctor for proper treatment.
Black hairy tongue,"Poor oral hygiene, Antibiotics, Tobacco use",Consult a doctor for proper treatment.
Cracked lips,"Dehydration, Vitamin deficiency, Angular cheilitis",Consult a doctor for proper treatment.
Change in taste,"Zinc deficiency, Medication side effect, COVID-19","Isolation, fluids, paracetamol, and rest."
Loss of taste,"COVID-19, Zinc deficiency, Bell's palsy","Isolation, fluids, paracetamol, and rest."
Nose bleeding,"Hypertension, Dry air, Blood disorders",BP medication and lifestyle changes.
Runny nose,"Common cold, Allergies, Sinusitis","Steam inhalation, nasal spray, antibiotics if needed."
Stuffy nose,"Common cold, Sinusitis, Allergies","Steam inhalation, nasal spray, antibiotics if needed."
Postnasal drip,"Sinusitis, Allergies, Gastroesophageal reflux","Steam inhalation, nasal spray, antibiotics if needed."
Sneezing,"Allergies, Common cold, Rhinitis",Consult a doctor for proper treatment.
Itchy nose,"Allergies, Rhinitis, Sinusitis","Steam inhalation, nasal spray, antibiotics if needed."
Nasal polyps,"Chronic sinusitis, Allergies, Cystic fibrosis","Steam inhalation, nasal spray, antibiotics if needed."
Change in smell,"COVID-19, Sinusitis, Nasal polyps","Isolation, fluids, paracetamol, and rest."
Loss of smell,"COVID-19, Nasal polyps, Zinc deficiency","Isolation, fluids, paracetamol, and rest."
Frequent infections,"HIV, Diabetes, Immunodeficiency",Consult a doctor for proper treatment.
Swollen lymph nodes,"Infection, Tuberculosis, Lymphoma",Antitubercular drugs under medical supervision.
Unexplained weight loss,"Tuberculosis, Cancer, Hyperthyroidism",Antitubercular drugs under medical supervision.
Unexplained weight gain,"Hypothyroidism, Cushing's syndrome, Edema",Consult a doctor for proper treatment.
Increased appetite,"Hyperthyroidism, Diabetes, Pregnancy",Consult a doctor for proper treatment.
Decreased appetite,"Depression, Hepatitis, Cancer",Consult a doctor for proper treatment.
